epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3641,1.51973,1.69512,1.59972,0.25814,0.43485,0.20052,0.07924,2.2275,4.0842,2.94341,0.000661578,0.000661578,0.000661578
2,98.1203,1.65471,1.70482,1.70845,0.17866,0.33168,0.12778,0.04924,2.20442,4.87908,2.31801,0.00132277,0.00132277,0.00132277
3,146.144,1.63149,1.71467,1.68786,0.23611,0.2795,0.16814,0.06708,2.29259,4.79689,2.2586,0.00197845,0.00197845,0.00197845
4,194.143,1.59666,1.66896,1.65745,0.45795,0.40248,0.38751,0.18642,1.84581,2.531,1.9503,0.00197525,0.00197525,0.00197525
5,242.168,1.55625,1.59689,1.62538,0.45122,0.40621,0.38436,0.20026,1.84911,2.71742,1.88531,0.001967,0.001967,0.001967
6,290.163,1.51413,1.5509,1.59942,0.42762,0.43619,0.40128,0.19356,1.79559,2.10121,1.90456,0.00195875,0.00195875,0.00195875
7,338.002,1.50371,1.53269,1.58124,0.49361,0.41533,0.44144,0.23496,1.67177,1.84406,1.73991,0.0019505,0.0019505,0.0019505
8,386.086,1.43156,1.45937,1.54221,0.46855,0.43602,0.41126,0.21425,1.75064,2.04696,1.80389,0.00194225,0.00194225,0.00194225
9,433.906,1.42879,1.4243,1.5416,0.50734,0.51801,0.50188,0.2862,1.56537,1.77296,1.68783,0.001934,0.001934,0.001934
10,481.975,1.42346,1.40435,1.52983,0.54884,0.47205,0.50089,0.28605,1.63306,1.61255,1.69653,0.00192575,0.00192575,0.00192575
11,529.814,1.4163,1.37757,1.51883,0.61563,0.49689,0.55658,0.31618,1.57399,1.63661,1.69302,0.0019175,0.0019175,0.0019175
12,577.836,1.39223,1.36666,1.51783,0.47472,0.54037,0.50651,0.29284,1.59519,1.57629,1.71605,0.00190925,0.00190925,0.00190925
13,625.667,1.38682,1.33191,1.49914,0.60871,0.52422,0.56056,0.31673,1.55186,1.53664,1.67999,0.001901,0.001901,0.001901
14,673.611,1.36807,1.30578,1.49364,0.61352,0.5354,0.59529,0.34822,1.49111,1.57501,1.63341,0.00189275,0.00189275,0.00189275
15,721.493,1.36663,1.29668,1.49953,0.53924,0.54664,0.55996,0.31772,1.53796,1.47314,1.65858,0.0018845,0.0018845,0.0018845
16,769.405,1.37662,1.32797,1.49682,0.54316,0.54534,0.55117,0.31616,1.54235,1.69389,1.63875,0.00187625,0.00187625,0.00187625
17,817.1,1.34089,1.26565,1.4827,0.6067,0.54161,0.58775,0.33564,1.50323,1.43437,1.61244,0.001868,0.001868,0.001868
18,864.94,1.35452,1.28352,1.48458,0.6094,0.59006,0.61548,0.36181,1.49016,1.38698,1.60317,0.00185975,0.00185975,0.00185975
19,912.924,1.35794,1.27619,1.48716,0.583,0.5528,0.60907,0.3709,1.4676,1.41344,1.57569,0.0018515,0.0018515,0.0018515
20,960.922,1.3229,1.22904,1.46099,0.57088,0.60373,0.59663,0.35185,1.49785,1.37355,1.60973,0.00184325,0.00184325,0.00184325
21,1008.72,1.31771,1.22003,1.45837,0.58367,0.62609,0.62333,0.36908,1.48136,1.26752,1.57644,0.001835,0.001835,0.001835
22,1056.53,1.32078,1.21244,1.45897,0.60154,0.59627,0.60789,0.35682,1.45076,1.30806,1.59962,0.00182675,0.00182675,0.00182675
23,1104.4,1.30062,1.18975,1.45508,0.57465,0.60584,0.62234,0.37156,1.46219,1.31594,1.58226,0.0018185,0.0018185,0.0018185
24,1152.35,1.30677,1.19659,1.44917,0.63109,0.61988,0.6531,0.38822,1.43093,1.23433,1.55578,0.00181025,0.00181025,0.00181025
25,1200.19,1.28405,1.17509,1.44366,0.58301,0.59226,0.61333,0.36972,1.43872,1.37731,1.57474,0.001802,0.001802,0.001802
26,1248.02,1.29265,1.16671,1.44246,0.64275,0.55427,0.61476,0.36646,1.41712,1.36158,1.55472,0.00179375,0.00179375,0.00179375
27,1295.75,1.28005,1.15988,1.43629,0.67982,0.57391,0.66797,0.4113,1.39754,1.1788,1.54181,0.0017855,0.0017855,0.0017855
28,1343.72,1.26032,1.13624,1.41917,0.62116,0.58048,0.63419,0.38273,1.43621,1.30694,1.57459,0.00177725,0.00177725,0.00177725
29,1391.53,1.28327,1.17149,1.43429,0.60502,0.59876,0.63255,0.38127,1.43562,1.26638,1.57156,0.001769,0.001769,0.001769
30,1439.38,1.28629,1.15588,1.43846,0.61688,0.6236,0.63881,0.38285,1.42385,1.31043,1.54584,0.00176075,0.00176075,0.00176075
31,1487.16,1.2781,1.15068,1.42583,0.61838,0.63975,0.65583,0.38827,1.40201,1.31606,1.55601,0.0017525,0.0017525,0.0017525
32,1534.93,1.2636,1.12068,1.41666,0.62233,0.60248,0.65205,0.40065,1.43983,1.24212,1.6056,0.00174425,0.00174425,0.00174425
33,1582.63,1.26111,1.12068,1.41812,0.61367,0.63975,0.65079,0.39796,1.4122,1.2155,1.55972,0.001736,0.001736,0.001736
34,1630.4,1.27642,1.12897,1.42398,0.62681,0.58137,0.641,0.39798,1.40369,1.23293,1.54505,0.00172775,0.00172775,0.00172775
35,1678.22,1.26504,1.12424,1.42032,0.61305,0.65536,0.66646,0.4095,1.40064,1.20028,1.53893,0.0017195,0.0017195,0.0017195
36,1725.96,1.25934,1.11262,1.41224,0.60325,0.61863,0.63997,0.39431,1.40797,1.24967,1.55041,0.00171125,0.00171125,0.00171125
37,1773.7,1.24189,1.09061,1.40151,0.63445,0.63817,0.65944,0.40922,1.43511,1.17238,1.56244,0.001703,0.001703,0.001703
38,1822.69,1.24443,1.06984,1.40192,0.59479,0.64183,0.66265,0.40938,1.41978,1.21591,1.55223,0.00169475,0.00169475,0.00169475
39,1870.49,1.23417,1.08599,1.39609,0.63631,0.62484,0.67512,0.4195,1.38394,1.15741,1.50609,0.0016865,0.0016865,0.0016865
40,1918.47,1.24334,1.08236,1.40265,0.61831,0.63354,0.64947,0.39391,1.43974,1.25462,1.57641,0.00167825,0.00167825,0.00167825
41,1966.24,1.2392,1.08141,1.40139,0.62534,0.6323,0.66026,0.40559,1.42013,1.29506,1.56089,0.00167,0.00167,0.00167
42,2014.12,1.23588,1.06783,1.39103,0.66726,0.61863,0.68312,0.42645,1.3928,1.18532,1.52695,0.00166175,0.00166175,0.00166175
43,2062.08,1.22488,1.06513,1.39642,0.62725,0.62484,0.66102,0.40317,1.41659,1.25633,1.52823,0.0016535,0.0016535,0.0016535
44,2109.93,1.24146,1.06054,1.39563,0.65517,0.59752,0.68364,0.42355,1.39416,1.20839,1.5159,0.00164525,0.00164525,0.00164525
45,2157.69,1.22842,1.05635,1.39108,0.63549,0.63851,0.66996,0.41534,1.38311,1.23729,1.52739,0.001637,0.001637,0.001637
46,2205.58,1.22624,1.06428,1.39033,0.60576,0.6795,0.67234,0.41475,1.39822,1.21938,1.54208,0.00162875,0.00162875,0.00162875
47,2253.45,1.2143,1.03899,1.37202,0.6222,0.62609,0.66679,0.40619,1.3797,1.20517,1.52302,0.0016205,0.0016205,0.0016205
48,2301.3,1.2171,1.0326,1.38543,0.64867,0.64909,0.68063,0.42058,1.36791,1.24009,1.52674,0.00161225,0.00161225,0.00161225
49,2348.99,1.21249,1.04908,1.36976,0.65546,0.61491,0.67228,0.41137,1.366,1.25531,1.52766,0.001604,0.001604,0.001604
50,2396.71,1.20525,1.01315,1.37259,0.63421,0.66122,0.68897,0.43079,1.37743,1.12039,1.53189,0.00159575,0.00159575,0.00159575
51,2444.64,1.21153,1.02588,1.39513,0.62864,0.65466,0.67374,0.41439,1.40119,1.22368,1.5392,0.0015875,0.0015875,0.0015875
52,2492.37,1.20637,1.02763,1.37181,0.68014,0.62236,0.6904,0.43428,1.36929,1.13371,1.51415,0.00157925,0.00157925,0.00157925
53,2540.3,1.20233,1.02116,1.37032,0.66247,0.65098,0.69537,0.44393,1.33569,1.13333,1.48555,0.001571,0.001571,0.001571
54,2588.25,1.19896,1.00171,1.36247,0.64633,0.64472,0.6845,0.42908,1.37737,1.11113,1.52678,0.00156275,0.00156275,0.00156275
55,2636.06,1.20363,1.02971,1.3768,0.65579,0.65466,0.69693,0.44468,1.35155,1.12165,1.49819,0.0015545,0.0015545,0.0015545
56,2683.96,1.1897,0.99073,1.36176,0.64758,0.67453,0.70261,0.43866,1.38361,1.15951,1.53132,0.00154625,0.00154625,0.00154625
57,2731.72,1.19402,1.00891,1.3713,0.64193,0.6646,0.70489,0.44689,1.34607,1.11794,1.4997,0.001538,0.001538,0.001538
58,2779.64,1.19334,0.98522,1.36476,0.63873,0.67205,0.7082,0.44453,1.3589,1.11663,1.50991,0.00152975,0.00152975,0.00152975
59,2827.5,1.1861,0.97289,1.35432,0.72674,0.61242,0.71178,0.44979,1.36823,1.09027,1.4964,0.0015215,0.0015215,0.0015215
60,2875.41,1.18275,0.9893,1.35603,0.67044,0.64947,0.69505,0.44017,1.34684,1.10921,1.49902,0.00151325,0.00151325,0.00151325
61,2923.15,1.18161,0.98426,1.34735,0.70444,0.63354,0.70943,0.44636,1.35516,1.08267,1.50142,0.001505,0.001505,0.001505
62,2970.91,1.18473,0.97118,1.3478,0.64162,0.65217,0.68951,0.42754,1.35772,1.13299,1.48848,0.00149675,0.00149675,0.00149675
