epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3391,1.45004,1.97579,1.52664,0.5412,0.44969,0.44183,0.23838,1.53511,2.01874,1.58438,0.000661578,0.000661578,0.000661578
2,39.7439,1.48354,1.58555,1.50823,0.36147,0.49859,0.34786,0.15705,1.76221,2.21754,1.7549,0.00132277,0.00132277,0.00132277
3,57.5746,1.50057,1.56393,1.52754,0.44866,0.44099,0.41341,0.22596,1.70463,1.98032,1.78723,0.00197845,0.00197845,0.00197845
4,75.5117,1.50274,1.5543,1.52956,0.45207,0.51246,0.4511,0.22618,1.7486,1.83504,1.67217,0.00197525,0.00197525,0.00197525
5,93.7415,1.49857,1.52308,1.51335,0.53455,0.46335,0.43818,0.22893,1.66843,1.74928,1.68737,0.001967,0.001967,0.001967
6,111.711,1.45615,1.48518,1.50228,0.58081,0.47081,0.51537,0.28594,1.61598,1.57496,1.62927,0.00195875,0.00195875,0.00195875
7,129.459,1.45019,1.45996,1.49062,0.50645,0.51429,0.48442,0.26222,1.576,1.77905,1.57614,0.0019505,0.0019505,0.0019505
8,147.406,1.39008,1.39431,1.45017,0.56926,0.56804,0.5548,0.31849,1.50946,1.46157,1.54912,0.00194225,0.00194225,0.00194225
9,165.22,1.40075,1.38341,1.4627,0.57616,0.56273,0.55879,0.31013,1.55989,1.54663,1.60486,0.001934,0.001934,0.001934
10,183.07,1.40498,1.36947,1.46185,0.54081,0.52919,0.5146,0.29322,1.58807,1.61269,1.59212,0.00192575,0.00192575,0.00192575
11,200.999,1.38464,1.33583,1.44025,0.5446,0.51925,0.53179,0.31077,1.51817,1.56305,1.59268,0.0019175,0.0019175,0.0019175
12,218.71,1.36347,1.32978,1.44228,0.53972,0.53168,0.53666,0.31088,1.53779,1.54535,1.56506,0.00190925,0.00190925,0.00190925
13,236.307,1.38622,1.3179,1.43895,0.54873,0.56191,0.52665,0.29029,1.55169,1.68993,1.5764,0.001901,0.001901,0.001901
14,254.253,1.37042,1.30697,1.43891,0.60948,0.54534,0.59409,0.34529,1.48769,1.37925,1.52941,0.00189275,0.00189275,0.00189275
15,271.89,1.33746,1.29424,1.42368,0.62116,0.54783,0.60241,0.3558,1.48598,1.36553,1.50219,0.0018845,0.0018845,0.0018845
16,289.766,1.3695,1.3033,1.44115,0.57637,0.4952,0.52185,0.29978,1.47178,1.75386,1.49794,0.00187625,0.00187625,0.00187625
17,307.418,1.3291,1.25247,1.41336,0.5998,0.5677,0.56868,0.33256,1.45979,1.36956,1.49875,0.001868,0.001868,0.001868
