epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.702,1.44363,1.60413,1.50975,0.41814,0.37764,0.32681,0.15721,1.85994,2.19534,1.95948,0.000661578,0.000661578,0.000661578
2,52.3432,1.55464,1.54767,1.581,0.24819,0.30922,0.20219,0.07932,2.22271,2.80234,2.20921,0.00132277,0.00132277,0.00132277
3,77.6885,1.55978,1.57572,1.58324,0.2437,0.42236,0.19776,0.08564,2.02599,5.34722,2.027,0.00197845,0.00197845,0.00197845
4,102.778,1.54177,1.55476,1.57387,0.35943,0.40497,0.32062,0.14664,1.98465,2.61637,1.91559,0.00197525,0.00197525,0.00197525
5,127.854,1.51617,1.50615,1.53605,0.47178,0.47265,0.44227,0.21919,1.79267,3.04872,1.75498,0.001967,0.001967,0.001967
6,152.953,1.48208,1.49037,1.52368,0.41764,0.45346,0.4039,0.21356,1.75467,1.93134,1.72104,0.00195875,0.00195875,0.00195875
7,177.989,1.47267,1.45796,1.5092,0.55422,0.53913,0.55153,0.31408,1.5735,1.5471,1.60719,0.0019505,0.0019505,0.0019505
8,203.063,1.41197,1.37354,1.47457,0.53102,0.54783,0.54587,0.31163,1.57459,1.44393,1.62621,0.00194225,0.00194225,0.00194225
9,228.105,1.39574,1.36055,1.46888,0.5446,0.54161,0.53834,0.30095,1.56068,1.48251,1.6206,0.001934,0.001934,0.001934
10,253.164,1.40235,1.33762,1.46841,0.57213,0.58303,0.59475,0.35315,1.49572,1.53255,1.57338,0.00192575,0.00192575,0.00192575
11,278.317,1.37967,1.31705,1.45002,0.56655,0.56273,0.56463,0.32909,1.5293,1.46773,1.57232,0.0019175,0.0019175,0.0019175
12,303.27,1.36231,1.29907,1.44938,0.53462,0.59366,0.56899,0.33325,1.48515,1.4855,1.53159,0.00190925,0.00190925,0.00190925
13,328.321,1.36943,1.27457,1.43539,0.55301,0.59503,0.57836,0.33036,1.50847,2.0367,1.56759,0.001901,0.001901,0.001901
14,353.362,1.35917,1.27667,1.43936,0.59718,0.5764,0.61529,0.36752,1.47141,1.35376,1.51971,0.00189275,0.00189275,0.00189275
15,378.374,1.33681,1.24883,1.4267,0.50862,0.54658,0.53477,0.30508,1.54778,1.50798,1.60975,0.0018845,0.0018845,0.0018845
16,403.462,1.353,1.26783,1.42715,0.53651,0.63414,0.58577,0.34332,1.52388,1.72832,1.54871,0.00187625,0.00187625,0.00187625
17,428.442,1.32206,1.21162,1.41059,0.53842,0.57091,0.56232,0.31417,1.55516,1.4933,1.56241,0.001868,0.001868,0.001868
18,453.488,1.33759,1.24023,1.42127,0.55255,0.59006,0.57671,0.32486,1.5118,1.43197,1.54471,0.00185975,0.00185975,0.00185975
19,478.56,1.334,1.25037,1.41668,0.60599,0.58509,0.6275,0.37585,1.46535,1.35539,1.52783,0.0018515,0.0018515,0.0018515
20,503.665,1.30682,1.19352,1.39693,0.66528,0.54907,0.60157,0.36663,1.43991,1.27727,1.47115,0.00184325,0.00184325,0.00184325
21,528.691,1.29887,1.18688,1.39324,0.64106,0.56273,0.62814,0.36923,1.51266,1.31355,1.5321,0.001835,0.001835,0.001835
22,553.679,1.30956,1.17013,1.4002,0.5962,0.57888,0.60996,0.3695,1.44374,1.32375,1.50234,0.00182675,0.00182675,0.00182675
23,578.779,1.29284,1.17373,1.39798,0.57739,0.59403,0.62514,0.37688,1.45584,1.31586,1.51144,0.0018185,0.0018185,0.0018185
24,603.859,1.29322,1.16724,1.38923,0.62814,0.61118,0.64783,0.39574,1.41092,1.29662,1.46486,0.00181025,0.00181025,0.00181025
25,629.002,1.27975,1.14597,1.38189,0.61038,0.61118,0.64592,0.38733,1.4227,1.27182,1.49104,0.001802,0.001802,0.001802
26,654.092,1.29362,1.14312,1.38787,0.66096,0.58137,0.64829,0.3796,1.46062,1.26766,1.48117,0.00179375,0.00179375,0.00179375
27,679.086,1.27651,1.13705,1.37822,0.63564,0.61242,0.65279,0.39763,1.39501,1.21337,1.46421,0.0017855,0.0017855,0.0017855
28,704.101,1.26083,1.10512,1.36342,0.62001,0.61618,0.65355,0.38849,1.43682,1.27239,1.49064,0.00177725,0.00177725,0.00177725
29,729.086,1.27289,1.14413,1.38422,0.61636,0.64264,0.66654,0.3964,1.41208,1.19601,1.46987,0.001769,0.001769,0.001769
30,754.071,1.27922,1.13631,1.38581,0.66368,0.60994,0.67745,0.41405,1.40024,1.1968,1.47736,0.00176075,0.00176075,0.00176075
31,779.115,1.26557,1.11671,1.35954,0.65479,0.63106,0.67837,0.4274,1.37669,1.1723,1.45182,0.0017525,0.0017525,0.0017525
32,804.082,1.25848,1.09955,1.36314,0.66324,0.62387,0.69146,0.4259,1.39044,1.14843,1.46739,0.00174425,0.00174425,0.00174425
33,829.079,1.25509,1.09692,1.35778,0.60718,0.60621,0.62855,0.38079,1.41378,1.26653,1.48441,0.001736,0.001736,0.001736
34,854.144,1.26955,1.10792,1.36541,0.60824,0.64596,0.66718,0.41259,1.38001,1.19111,1.46256,0.00172775,0.00172775,0.00172775
35,879.166,1.24487,1.09559,1.35014,0.63431,0.61409,0.6624,0.40644,1.40002,1.28988,1.46496,0.0017195,0.0017195,0.0017195
36,904.202,1.24953,1.09434,1.35622,0.64402,0.62703,0.67294,0.42041,1.35943,1.1981,1.46852,0.00171125,0.00171125,0.00171125
37,929.195,1.2318,1.06843,1.34103,0.62992,0.6472,0.67734,0.41448,1.39429,1.17771,1.45716,0.001703,0.001703,0.001703
38,954.174,1.23086,1.05334,1.34259,0.67011,0.58291,0.66944,0.41705,1.39606,1.16177,1.45998,0.00169475,0.00169475,0.00169475
39,979.21,1.23164,1.05791,1.34197,0.64008,0.63478,0.67291,0.41889,1.37093,1.16309,1.44106,0.0016865,0.0016865,0.0016865
40,1004.2,1.23802,1.05954,1.35292,0.66621,0.63106,0.67155,0.41413,1.40348,1.23696,1.47212,0.00167825,0.00167825,0.00167825
41,1029.21,1.23228,1.06765,1.35098,0.62736,0.65217,0.68101,0.42154,1.40064,1.15681,1.46641,0.00167,0.00167,0.00167
42,1054.12,1.2292,1.04037,1.34106,0.6271,0.64099,0.67323,0.41858,1.40616,1.18044,1.46315,0.00166175,0.00166175,0.00166175
43,1079.19,1.22425,1.05625,1.33726,0.59694,0.66049,0.68329,0.42288,1.36908,1.15081,1.43964,0.0016535,0.0016535,0.0016535
44,1104.16,1.23,1.04775,1.33276,0.65381,0.64596,0.68806,0.42679,1.36986,1.16484,1.44447,0.00164525,0.00164525,0.00164525
45,1129.13,1.22263,1.03456,1.33749,0.66406,0.63106,0.67522,0.41442,1.39171,1.19839,1.45265,0.001637,0.001637,0.001637
46,1154.15,1.22956,1.05191,1.33991,0.63383,0.66584,0.68906,0.43243,1.37667,1.14039,1.44805,0.00162875,0.00162875,0.00162875
47,1179.22,1.20693,1.02718,1.32191,0.63792,0.62595,0.67672,0.42172,1.38053,1.13326,1.44209,0.0016205,0.0016205,0.0016205
48,1204.24,1.20597,1.01059,1.32428,0.63658,0.65466,0.68191,0.4278,1.3606,1.17364,1.43814,0.00161225,0.00161225,0.00161225
49,1229.2,1.21868,1.02146,1.31759,0.66999,0.59503,0.6545,0.41423,1.36905,1.2366,1.44286,0.001604,0.001604,0.001604
50,1254.19,1.19962,1.00629,1.31637,0.63591,0.68571,0.70817,0.44014,1.34704,1.11044,1.43586,0.00159575,0.00159575,0.00159575
51,1279.29,1.20241,1.01927,1.3295,0.61942,0.6559,0.68187,0.42369,1.37161,1.19629,1.44884,0.0015875,0.0015875,0.0015875
52,1304.26,1.19534,1.00348,1.31851,0.67003,0.5852,0.67802,0.41979,1.36104,1.16701,1.43095,0.00157925,0.00157925,0.00157925
53,1329.25,1.20438,1.01368,1.31838,0.70681,0.60497,0.70055,0.44071,1.34585,1.11357,1.41555,0.001571,0.001571,0.001571
54,1354.41,1.20005,1.00019,1.32023,0.62345,0.64224,0.67595,0.42706,1.35312,1.12554,1.44429,0.00156275,0.00156275,0.00156275
55,1379.44,1.20513,1.02593,1.32756,0.66183,0.66832,0.70197,0.44525,1.35845,1.12133,1.42665,0.0015545,0.0015545,0.0015545
56,1404.52,1.1861,0.98454,1.30924,0.63689,0.67826,0.70122,0.44581,1.33293,1.13102,1.42018,0.00154625,0.00154625,0.00154625
57,1429.6,1.19165,0.99886,1.31508,0.68579,0.61863,0.69472,0.43403,1.3664,1.12985,1.44471,0.001538,0.001538,0.001538
58,1454.58,1.19137,0.97531,1.30876,0.68432,0.62857,0.69758,0.43393,1.35551,1.10158,1.42607,0.00152975,0.00152975,0.00152975
59,1479.64,1.18801,0.97,1.30521,0.66845,0.63727,0.69237,0.44207,1.36262,1.1253,1.43137,0.0015215,0.0015215,0.0015215
60,1504.69,1.17189,0.97568,1.30132,0.72914,0.58521,0.69496,0.43682,1.35315,1.11277,1.43106,0.00151325,0.00151325,0.00151325
61,1529.65,1.17845,0.98437,1.30277,0.64353,0.67952,0.70295,0.44783,1.34987,1.11124,1.42368,0.001505,0.001505,0.001505
62,1554.8,1.18381,0.96248,1.30374,0.66561,0.65217,0.69717,0.44277,1.34784,1.0989,1.42473,0.00149675,0.00149675,0.00149675
63,1579.85,1.17842,0.97921,1.29873,0.63308,0.66874,0.69625,0.44281,1.37197,1.10598,1.44077,0.0014885,0.0014885,0.0014885
64,1604.93,1.16445,0.95979,1.29102,0.68029,0.63966,0.70978,0.45396,1.33852,1.08441,1.40693,0.00148025,0.00148025,0.00148025
65,1630.03,1.14917,0.95396,1.28787,0.67026,0.60602,0.6902,0.43508,1.35439,1.13021,1.43462,0.001472,0.001472,0.001472
66,1655.08,1.17968,0.96309,1.29796,0.66,0.66957,0.7045,0.44104,1.34634,1.18134,1.40878,0.00146375,0.00146375,0.00146375
67,1680.15,1.16619,0.96821,1.28427,0.67044,0.6472,0.70401,0.44217,1.32945,1.13485,1.41849,0.0014555,0.0014555,0.0014555
68,1705.2,1.14866,0.9377,1.28529,0.679,0.6559,0.70606,0.435,1.37853,1.10838,1.43345,0.00144725,0.00144725,0.00144725
69,1730.23,1.15898,0.96114,1.28969,0.68489,0.65069,0.70654,0.44452,1.33455,1.12143,1.41692,0.001439,0.001439,0.001439
70,1755.23,1.15273,0.94901,1.27982,0.69321,0.60909,0.70452,0.44172,1.35017,1.09168,1.42843,0.00143075,0.00143075,0.00143075
71,1780.19,1.16181,0.94586,1.29792,0.67181,0.65098,0.71426,0.4536,1.33307,1.09203,1.42716,0.0014225,0.0014225,0.0014225
72,1805.17,1.15341,0.93603,1.28558,0.67426,0.64348,0.70667,0.43989,1.34944,1.11283,1.43371,0.00141425,0.00141425,0.00141425
73,1830.13,1.15006,0.93202,1.27655,0.65246,0.6833,0.70884,0.45131,1.31974,1.05983,1.3915,0.001406,0.001406,0.001406
74,1855.13,1.13918,0.91823,1.27276,0.67265,0.68153,0.71374,0.45626,1.3298,1.07573,1.4019,0.00139775,0.00139775,0.00139775
75,1880.14,1.15382,0.9389,1.283,0.6805,0.64294,0.69566,0.44291,1.32635,1.13198,1.39595,0.0013895,0.0013895,0.0013895
76,1905.1,1.13002,0.90848,1.27683,0.65156,0.6882,0.72176,0.46487,1.31982,1.08083,1.39849,0.00138125,0.00138125,0.00138125
77,1930.2,1.14267,0.93297,1.28108,0.65408,0.65062,0.70387,0.45083,1.3422,1.09857,1.40125,0.001373,0.001373,0.001373
78,1955.13,1.14046,0.92524,1.27526,0.65415,0.6646,0.7084,0.45153,1.32517,1.08309,1.39469,0.00136475,0.00136475,0.00136475
79,1980.16,1.14986,0.93343,1.28475,0.65154,0.6882,0.71387,0.45771,1.33045,1.06502,1.40879,0.0013565,0.0013565,0.0013565
80,2005.1,1.1365,0.90715,1.26901,0.75666,0.63106,0.72229,0.45959,1.32434,1.05952,1.38951,0.00134825,0.00134825,0.00134825
81,2030.07,1.13007,0.92313,1.27368,0.64819,0.65688,0.69956,0.44327,1.34015,1.0981,1.39815,0.00134,0.00134,0.00134
82,2055.01,1.14456,0.92437,1.27372,0.69098,0.63331,0.71243,0.45205,1.32808,1.08953,1.40983,0.00133175,0.00133175,0.00133175
83,2080.03,1.12096,0.90174,1.25697,0.66837,0.65466,0.712,0.45233,1.3426,1.06874,1.40595,0.0013235,0.0013235,0.0013235
84,2105.07,1.10973,0.89719,1.25821,0.66922,0.66708,0.72455,0.47048,1.32098,1.04084,1.39824,0.00131525,0.00131525,0.00131525
